,Futures IPE Gas Oil 1st month Close,Futures IPE Gas Oil 1st month Close,Futures IPE Gas Oil 1st month Close,Futures IPE Gas Oil 1st month Close
19-Jul-00,251.5,251.5,251.5,251.5
18-Jul-00,249.5,249.5,249.5,249.5
17-Jul-00,246,246,246,246
14-Jul-00,250.75,250.75,250.75,250.75
13-Jul-00,249,249,249,249
12-Jul-00,243.5,243.5,243.5,243.5
11-Jul-00,243,243,243,243
10-Jul-00,240.25,240.25,240.25,240.25
7-Jul-00,240,240,240,240
6-Jul-00,246.25,246.25,246.25,246.25
5-Jul-00,246.5,246.5,246.5,246.5
4-Jul-00,252.5,252.5,252.5,252.5
3-Jul-00,259.5,259.5,259.5,259.5
30-Jun-00,255.75,255.75,255.75,255.75
29-Jun-00,251.5,251.5,251.5,251.5
28-Jun-00,248.5,248.5,248.5,248.5
27-Jun-00,243.25,243.25,243.25,243.25
26-Jun-00,245.75,245.75,245.75,245.75
23-Jun-00,244.75,244.75,244.75,244.75
22-Jun-00,242,242,242,242
21-Jun-00,240.5,240.5,240.5,240.5
20-Jun-00,231.75,231.75,231.75,231.75
19-Jun-00,223.75,223.75,223.75,223.75
16-Jun-00,230.5,230.5,230.5,230.5
15-Jun-00,233.75,233.75,233.75,233.75
14-Jun-00,238.25,238.25,238.25,238.25
13-Jun-00,238,238,238,238
12-Jun-00,234,234,234,234
9-Jun-00,232.25,232.25,232.25,232.25
8-Jun-00,232.5,232.5,232.5,232.5
7-Jun-00,227.25,227.25,227.25,227.25
6-Jun-00,231.5,231.5,231.5,231.5
5-Jun-00,225.75,225.75,225.75,225.75
2-Jun-00,231.5,231.5,231.5,231.5
1-Jun-00,228.25,228.25,228.25,228.25
31-May-00,228.5,228.5,228.5,228.5
30-May-00,230.5,230.5,230.5,230.5
29-May-00,230.88,230.88,230.88,230.88
26-May-00,231.25,231.25,231.25,231.25
25-May-00,232,232,232,232
24-May-00,228.75,228.75,228.75,228.75
23-May-00,223.25,223.25,223.25,223.25
22-May-00,225.25,225.25,225.25,225.25
19-May-00,233,233,233,233
18-May-00,231.5,231.5,231.5,231.5
17-May-00,226.5,226.5,226.5,226.5
16-May-00,227,227,227,227
15-May-00,226.75,226.75,226.75,226.75
12-May-00,229,229,229,229
11-May-00,226,226,226,226
10-May-00,223.5,223.5,223.5,223.5
9-May-00,217.75,217.75,217.75,217.75
8-May-00,211,211,211,211
5-May-00,207.5,207.5,207.5,207.5
4-May-00,212,212,212,212
3-May-00,215.25,215.25,215.25,215.25
2-May-00,216,216,216,216
1-May-00,213.75,213.75,213.75,213.75
28-Apr-00,211.5,211.5,211.5,211.5
27-Apr-00,208.5,208.5,208.5,208.5
26-Apr-00,206,206,206,206
25-Apr-00,207,207,207,207
24-Apr-00,208.25,208.25,208.25,208.25
21-Apr-00,209.5,209.5,209.5,209.5
20-Apr-00,210.75,210.75,210.75,210.75
19-Apr-00,209.5,209.5,209.5,209.5
18-Apr-00,205,205,205,205
17-Apr-00,201,201,201,201
14-Apr-00,199,199,199,199
13-Apr-00,199.25,199.25,199.25,199.25
12-Apr-00,193.5,193.5,193.5,193.5
11-Apr-00,203.75,203.75,203.75,203.75
10-Apr-00,200.75,200.75,200.75,200.75
7-Apr-00,204.5,204.5,204.5,204.5
6-Apr-00,207,207,207,207
5-Apr-00,205,205,205,205
4-Apr-00,201.25,201.25,201.25,201.25
3-Apr-00,207.25,207.25,207.25,207.25
31-Mar-00,204,204,204,204
30-Mar-00,204,204,204,204
29-Mar-00,203.5,203.5,203.5,203.5
28-Mar-00,211.25,211.25,211.25,211.25
27-Mar-00,211,211,211,211
24-Mar-00,213.75,213.75,213.75,213.75
23-Mar-00,208.25,208.25,208.25,208.25
22-Mar-00,210.25,210.25,210.25,210.25
21-Mar-00,209,209,209,209
20-Mar-00,209.25,209.25,209.25,209.25
17-Mar-00,217.5,217.5,217.5,217.5
16-Mar-00,214.5,214.5,214.5,214.5
15-Mar-00,211.5,211.5,211.5,211.5
14-Mar-00,218.25,218.25,218.25,218.25
13-Mar-00,222.75,222.75,222.75,222.75
10-Mar-00,224.25,224.25,224.25,224.25
9-Mar-00,234,234,234,234
8-Mar-00,248.75,248.75,248.75,248.75
7-Mar-00,253,253,253,253
6-Mar-00,241,241,241,241
3-Mar-00,238,238,238,238
2-Mar-00,238,238,238,238
1-Mar-00,233.75,233.75,233.75,233.75
29-Feb-00,230,230,230,230
28-Feb-00,226.75,226.75,226.75,226.75
25-Feb-00,227.25,227.25,227.25,227.25
24-Feb-00,219.25,219.25,219.25,219.25
23-Feb-00,217.5,217.5,217.5,217.5
22-Feb-00,213,213,213,213
21-Feb-00,215.5,215.5,215.5,215.5
18-Feb-00,219.75,219.75,219.75,219.75
17-Feb-00,220.5,220.5,220.5,220.5
16-Feb-00,223.5,223.5,223.5,223.5
15-Feb-00,219.75,219.75,219.75,219.75
14-Feb-00,220,220,220,220
11-Feb-00,217.5,217.5,217.5,217.5
10-Feb-00,215.25,215.25,215.25,215.25
9-Feb-00,220.75,220.75,220.75,220.75
8-Feb-00,222,222,222,222
7-Feb-00,227,227,227,227
4-Feb-00,225.5,225.5,225.5,225.5
3-Feb-00,227.25,227.25,227.25,227.25
2-Feb-00,222,222,222,222
1-Feb-00,221.25,221.25,221.25,221.25
31-Jan-00,219.5,219.5,219.5,219.5
28-Jan-00,218.25,218.25,218.25,218.25
27-Jan-00,222,222,222,222
26-Jan-00,227.5,227.5,227.5,227.5
25-Jan-00,226,226,226,226
24-Jan-00,225.5,225.5,225.5,225.5
21-Jan-00,235.25,235.25,235.25,235.25
20-Jan-00,227.75,227.75,227.75,227.75
19-Jan-00,221.25,221.25,221.25,221.25
18-Jan-00,221,221,221,221
17-Jan-00,220.5,220.5,220.5,220.5
14-Jan-00,213.75,213.75,213.75,213.75
13-Jan-00,208.25,208.25,208.25,208.25
12-Jan-00,205,205,205,205
11-Jan-00,201.5,201.5,201.5,201.5
10-Jan-00,196,196,196,196
7-Jan-00,205.25,205.25,205.25,205.25
6-Jan-00,211.25,211.25,211.25,211.25
5-Jan-00,213,213,213,213
4-Jan-00,213.5,213.5,213.5,213.5
3-Jan-00,216.42,216.42,216.42,216.42
