,Futures IPE Brent 2nd month Close,Futures IPE Brent 2nd month Close,Futures IPE Brent 2nd month Close,Futures IPE Brent 2nd month Close
14-Aug-00,29.41,29.41,29.41,29.41
11-Aug-00,28.99,28.99,28.99,28.99
10-Aug-00,29.38,29.38,29.38,29.38
9-Aug-00,28.64,28.64,28.64,28.64
8-Aug-00,27.78,27.78,27.78,27.78
7-Aug-00,27.62,27.62,27.62,27.62
4-Aug-00,28.35,28.35,28.35,28.35
3-Aug-00,27.51,27.51,27.51,27.51
2-Aug-00,27.12,27.12,27.12,27.12
1-Aug-00,26.76,26.76,26.76,26.76
31-Jul-00,26.68,26.68,26.68,26.68
28-Jul-00,27.27,27.27,27.27,27.27
27-Jul-00,27.08,27.08,27.08,27.08
26-Jul-00,26.9,26.9,26.9,26.9
25-Jul-00,26.87,26.87,26.87,26.87
24-Jul-00,26.84,26.84,26.84,26.84
21-Jul-00,27.52,27.52,27.52,27.52
20-Jul-00,28.02,28.02,28.02,28.02
19-Jul-00,28.53,28.53,28.53,28.53
18-Jul-00,28.82,28.82,28.82,28.82
17-Jul-00,28.14,28.14,28.14,28.14
14-Jul-00,28.78,28.78,28.78,28.78
13-Jul-00,29.17,29.17,29.17,29.17
12-Jul-00,28.59,28.59,28.59,28.59
11-Jul-00,28.16,28.16,28.16,28.16
10-Jul-00,28.01,28.01,28.01,28.01
7-Jul-00,28.32,28.32,28.32,28.32
6-Jul-00,28.3,28.3,28.3,28.3
5-Jul-00,28.24,28.24,28.24,28.24
4-Jul-00,28.6,28.6,28.6,28.6
3-Jul-00,29.84,29.84,29.84,29.84
30-Jun-00,29.39,29.39,29.39,29.39
29-Jun-00,29.7,29.7,29.7,29.7
28-Jun-00,29.1,29.1,29.1,29.1
27-Jun-00,29.24,29.24,29.24,29.24
26-Jun-00,28.77,28.77,28.77,28.77
23-Jun-00,29.41,29.41,29.41,29.41
22-Jun-00,29.1,29.1,29.1,29.1
21-Jun-00,28.3,28.3,28.3,28.3
20-Jun-00,28,28,28,28
19-Jun-00,27.03,27.03,27.03,27.03
16-Jun-00,27.4,27.4,27.4,27.4
15-Jun-00,28.41,28.41,28.41,28.41
14-Jun-00,29.5,29.5,29.5,29.5
13-Jun-00,29.85,29.85,29.85,29.85
12-Jun-00,29.33,29.33,29.33,29.33
9-Jun-00,28.08,28.08,28.08,28.08
8-Jun-00,27.79,27.79,27.79,27.79
7-Jun-00,28.06,28.06,28.06,28.06
6-Jun-00,27.61,27.61,27.61,27.61
5-Jun-00,27.48,27.48,27.48,27.48
2-Jun-00,28.12,28.12,28.12,28.12
1-Jun-00,27.95,27.95,27.95,27.95
31-May-00,27.1,27.1,27.1,27.1
30-May-00,28.04,28.04,28.04,28.04
29-May-00,28.06,28.06,28.06,28.06
26-May-00,28.08,28.08,28.08,28.08
25-May-00,28.19,28.19,28.19,28.19
24-May-00,27.75,27.75,27.75,27.75
23-May-00,26.86,26.86,26.86,26.86
22-May-00,26.85,26.85,26.85,26.85
19-May-00,27.86,27.86,27.86,27.86
18-May-00,27.98,27.98,27.98,27.98
17-May-00,27.25,27.25,27.25,27.25
16-May-00,27.36,27.36,27.36,27.36
15-May-00,27.89,27.89,27.89,27.89
12-May-00,27.61,27.61,27.61,27.61
11-May-00,27.2,27.2,27.2,27.2
10-May-00,26.27,26.27,26.27,26.27
9-May-00,26.43,26.43,26.43,26.43
8-May-00,25.77,25.77,25.77,25.77
5-May-00,24.9,24.9,24.9,24.9
4-May-00,24.66,24.66,24.66,24.66
3-May-00,24.44,24.44,24.44,24.44
2-May-00,24.71,24.71,24.71,24.71
1-May-00,24.2,24.2,24.2,24.2
28-Apr-00,23.7,23.7,23.7,23.7
27-Apr-00,23.6,23.6,23.6,23.6
26-Apr-00,22.97,22.97,22.97,22.97
25-Apr-00,23.37,23.37,23.37,23.37
24-Apr-00,23.5,23.5,23.5,23.5
21-Apr-00,23.62,23.62,23.62,23.62
20-Apr-00,23.75,23.75,23.75,23.75
19-Apr-00,23.68,23.68,23.68,23.68
18-Apr-00,23.04,23.04,23.04,23.04
17-Apr-00,22.71,22.71,22.71,22.71
14-Apr-00,22.44,22.44,22.44,22.44
13-Apr-00,22.91,22.91,22.91,22.91
12-Apr-00,23.12,23.12,23.12,23.12
11-Apr-00,21.83,21.83,21.83,21.83
10-Apr-00,21.58,21.58,21.58,21.58
7-Apr-00,22.84,22.84,22.84,22.84
6-Apr-00,23.53,23.53,23.53,23.53
5-Apr-00,23.89,23.89,23.89,23.89
4-Apr-00,23.82,23.82,23.82,23.82
3-Apr-00,24.58,24.58,24.58,24.58
31-Mar-00,24.79,24.79,24.79,24.79
30-Mar-00,24.67,24.67,24.67,24.67
29-Mar-00,24.66,24.66,24.66,24.66
28-Mar-00,25.37,25.37,25.37,25.37
27-Mar-00,25.46,25.46,25.46,25.46
24-Mar-00,25.61,25.61,25.61,25.61
23-Mar-00,25.28,25.28,25.28,25.28
22-Mar-00,25.18,25.18,25.18,25.18
21-Mar-00,25.5,25.5,25.5,25.5
20-Mar-00,25.13,25.13,25.13,25.13
17-Mar-00,25.93,25.93,25.93,25.93
16-Mar-00,26.07,26.07,26.07,26.07
15-Mar-00,26.47,26.47,26.47,26.47
14-Mar-00,27.3,27.3,27.3,27.3
13-Mar-00,27.44,27.44,27.44,27.44
10-Mar-00,27.41,27.41,27.41,27.41
9-Mar-00,27.75,27.75,27.75,27.75
8-Mar-00,27.47,27.47,27.47,27.47
7-Mar-00,30.26,30.26,30.26,30.26
6-Mar-00,28.18,28.18,28.18,28.18
3-Mar-00,27.62,27.62,27.62,27.62
2-Mar-00,27.77,27.77,27.77,27.77
1-Mar-00,27.69,27.69,27.69,27.69
29-Feb-00,26.63,26.63,26.63,26.63
28-Feb-00,26.12,26.12,26.12,26.12
25-Feb-00,26.06,26.06,26.06,26.06
24-Feb-00,26.01,26.01,26.01,26.01
23-Feb-00,25.89,25.89,25.89,25.89
22-Feb-00,25.71,25.71,25.71,25.71
21-Feb-00,24.96,24.96,24.96,24.96
18-Feb-00,25.29,25.29,25.29,25.29
17-Feb-00,25.65,25.65,25.65,25.65
16-Feb-00,26.31,26.31,26.31,26.31
15-Feb-00,26.15,26.15,26.15,26.15
14-Feb-00,26,26,26,26
11-Feb-00,26.39,26.39,26.39,26.39
10-Feb-00,26.28,26.28,26.28,26.28
9-Feb-00,25.87,25.87,25.87,25.87
8-Feb-00,25.38,25.38,25.38,25.38
7-Feb-00,25.73,25.73,25.73,25.73
4-Feb-00,25.97,25.97,25.97,25.97
3-Feb-00,25.5,25.5,25.5,25.5
2-Feb-00,25,25,25,25
1-Feb-00,25.45,25.45,25.45,25.45
31-Jan-00,25.06,25.06,25.06,25.06
28-Jan-00,24.68,24.68,24.68,24.68
27-Jan-00,24.71,24.71,24.71,24.71
26-Jan-00,25.11,25.11,25.11,25.11
25-Jan-00,25.58,25.58,25.58,25.58
24-Jan-00,25.14,25.14,25.14,25.14
21-Jan-00,25.38,25.38,25.38,25.38
20-Jan-00,25.22,25.22,25.22,25.22
19-Jan-00,25.06,25.06,25.06,25.06
18-Jan-00,25.26,25.26,25.26,25.26
17-Jan-00,24.77,24.77,24.77,24.77
14-Jan-00,24.46,24.46,24.46,24.46
13-Jan-00,24.53,24.53,24.53,24.53
12-Jan-00,24.23,24.23,24.23,24.23
11-Jan-00,24,24,24,24
10-Jan-00,23.18,23.18,23.18,23.18
7-Jan-00,22.65,22.65,22.65,22.65
6-Jan-00,23.07,23.07,23.07,23.07
5-Jan-00,23.22,23.22,23.22,23.22
4-Jan-00,23.69,23.69,23.69,23.69
3-Jan-00,23.81,23.81,23.81,23.81
