,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close
15-Sep-00,316.75,316.75,316.75,316.75
14-Sep-00,304.5,304.5,304.5,304.5
13-Sep-00,311,311,311,311
12-Sep-00,321,321,321,321
11-Sep-00,330,330,330,330
8-Sep-00,315,315,315,315
7-Sep-00,317.75,317.75,317.75,317.75
6-Sep-00,311,311,311,311
5-Sep-00,306.5,306.5,306.5,306.5
4-Sep-00,310.25,310.25,310.25,310.25
1-Sep-00,302,302,302,302
31-Aug-00,305.5,305.5,305.5,305.5
30-Aug-00,300.5,300.5,300.5,300.5
29-Aug-00,304.75,304.75,304.75,304.75
28-Aug-00,300.5,300.5,300.5,300.5
25-Aug-00,296.25,296.25,296.25,296.25
24-Aug-00,294,294,294,294
23-Aug-00,294,294,294,294
22-Aug-00,283.5,283.5,283.5,283.5
21-Aug-00,284.5,284.5,284.5,284.5
18-Aug-00,278,278,278,278
17-Aug-00,275.25,275.25,275.25,275.25
16-Aug-00,267.25,267.25,267.25,267.25
15-Aug-00,269,269,269,269
14-Aug-00,265.5,265.5,265.5,265.5
11-Aug-00,266.5,266.5,266.5,266.5
10-Aug-00,258.75,258.75,258.75,258.75
9-Aug-00,256,256,256,256
8-Aug-00,248.25,248.25,248.25,248.25
7-Aug-00,250,250,250,250
4-Aug-00,249.75,249.75,249.75,249.75
3-Aug-00,243.25,243.25,243.25,243.25
2-Aug-00,243,243,243,243
1-Aug-00,237.25,237.25,237.25,237.25
31-Jul-00,236.25,236.25,236.25,236.25
28-Jul-00,241.75,241.75,241.75,241.75
27-Jul-00,242,242,242,242
26-Jul-00,242.75,242.75,242.75,242.75
25-Jul-00,241,241,241,241
24-Jul-00,242,242,242,242
21-Jul-00,244.75,244.75,244.75,244.75
20-Jul-00,250.75,250.75,250.75,250.75
19-Jul-00,249.25,249.25,249.25,249.25
18-Jul-00,247.75,247.75,247.75,247.75
17-Jul-00,244,244,244,244
14-Jul-00,249.25,249.25,249.25,249.25
13-Jul-00,247,247,247,247
12-Jul-00,242.75,242.75,242.75,242.75
11-Jul-00,238.25,238.25,238.25,238.25
10-Jul-00,238.25,238.25,238.25,238.25
7-Jul-00,237.75,237.75,237.75,237.75
6-Jul-00,243,243,243,243
5-Jul-00,244.25,244.25,244.25,244.25
4-Jul-00,249.25,249.25,249.25,249.25
3-Jul-00,256.25,256.25,256.25,256.25
30-Jun-00,253.5,253.5,253.5,253.5
29-Jun-00,249.5,249.5,249.5,249.5
