Date,Open,High,Low,Close,Volume,Adj. Close*
27-Feb-03,3254.84,3283.29,3251.4,3277.34,0,3277.34
26-Feb-03,3291.07,3292.69,3259,3260.48,0,3260.48
25-Feb-03,3316.91,3316.91,3279,3281.92,0,3281.92
24-Feb-03,3318.25,3341.61,3318.25,3322.17,0,3322.17
21-Feb-03,3303.33,3313.6,3294.68,3307.2,0,3307.2
20-Feb-03,3301.81,3307.87,3284.58,3303.22,0,3303.22
19-Feb-03,3303.09,3317.8,3300.85,3302.04,0,3302.04
18-Feb-03,3284.04,3301.92,3284.04,3289.09,0,3289.09
17-Feb-03,3248.9,3287.01,3248.9,3282.45,0,3282.45
14-Feb-03,3250.65,3254.04,3218.37,3223.41,0,3223.41
12-Feb-03,3263.56,3263.75,3236.33,3247.51,0,3247.51
11-Feb-03,3269.85,3278.79,3249.63,3261.47,0,3261.47
10-Feb-03,3281.37,3281.42,3252.49,3256.86,0,3256.86
7-Feb-03,3309.46,3309.96,3277.33,3279.77,0,3279.77
6-Feb-03,3256.92,3311.18,3256.63,3305.44,0,3305.44
5-Feb-03,3268.61,3277.09,3239.02,3256.08,0,3256.08
4-Feb-03,3283.59,3295.25,3271.75,3278.13,0,3278.13
3-Feb-03,3265.08,3283.48,3250.55,3279.83,0,3279.83
31-Jan-03,3216.16,3257.48,3199.18,3250.38,0,3250.38
30-Jan-03,3246.54,3256.48,3217.37,3219.88,0,3219.88
29-Jan-03,3273.78,3275.74,3225.74,3238.02,0,3238.02
28-Jan-03,3247.09,3269.13,3209.51,3267.84,0,3267.84
27-Jan-03,3283.93,3286.46,3221.69,3247.71,0,3247.71
24-Jan-03,3332.02,3340.68,3281.93,3287.86,0,3287.86
23-Jan-03,3351.75,3360.37,3324.49,3328.18,0,3328.18
22-Jan-03,3364.11,3367.23,3345.62,3357.04,0,3357.04
21-Jan-03,3348.32,3356.82,3336.95,3354.14,0,3354.14
20-Jan-03,3364.53,3368.08,3338.09,3341.89,0,3341.89
17-Jan-03,3377.94,3382.53,3366.24,3370.39,0,3370.39
16-Jan-03,3358.47,3377.27,3352.55,3373.52,0,3373.52
15-Jan-03,3333.2,3359.98,3333.2,3357.69,0,3357.69
14-Jan-03,3334.94,3341.55,3321.49,3335.35,0,3335.35
13-Jan-03,3355.07,3356.93,3324.25,3327.16,0,3327.16
10-Jan-03,3416.92,3416.92,3342.12,3358.99,0,3358.99
9-Jan-03,3367.34,3388.19,3366.28,3384.2,0,3384.2
8-Jan-03,3339.89,3362.12,3338.94,3357.87,0,3357.87
7-Jan-03,3350.18,3352.43,3320.42,3330.5,0,3330.5
6-Jan-03,3364.72,3364.72,3330.03,3334.89,0,3334.89
3-Jan-03,3380.44,3386.97,3351.89,3357.54,0,3357.54
2-Jan-03,3399.72,3407.24,3363.11,3365.06,0,3365.06
31-Dec-02,3376.48,3398.11,3374.73,3377.28,0,3377.28
30-Dec-02,3389.12,3389.12,3359.76,3374.97,0,3374.97
27-Dec-02,3393.58,3413.83,3393.58,3398,0,3398
26-Dec-02,3360.86,3399.37,3360.41,3382.64,0,3382.64
24-Dec-02,3328.66,3359.39,3318.02,3352.77,0,3352.77
23-Dec-02,3346.56,3351.01,3321.5,3329.61,0,3329.61
20-Dec-02,3339.46,3356,3329.1,3337.22,0,3337.22
19-Dec-02,3332.72,3345.67,3313.45,3333.86,0,3333.86
18-Dec-02,3321.12,3348.57,3319.25,3333.31,0,3333.31
17-Dec-02,3338.88,3347.92,3301.78,3311.06,0,3311.06
16-Dec-02,3360.2,3371.16,3324.4,3328.39,0,3328.39
13-Dec-02,3335.28,3349.49,3329.21,3342.97,0,3342.97
12-Dec-02,3309.2,3331.27,3299.48,3324.48,0,3324.48
11-Dec-02,3298.94,3324.23,3287.28,3303.27,0,3303.27
10-Dec-02,3256.63,3294.69,3241.4,3289.68,0,3289.68
9-Dec-02,3320.87,3349.36,3264.76,3269.31,0,3269.31
6-Dec-02,3235.68,3309.8,3235.68,3306.29,0,3306.29
5-Dec-02,3186.62,3250.25,3186.62,3229.73,0,3229.73
4-Dec-02,3243.86,3243.86,3189.14,3207.36,0,3207.36
3-Dec-02,3276.7,3292.26,3223.03,3230.14,0,3230.14
2-Dec-02,3247.6,3277.37,3238.89,3270.36,0,3270.36
29-Nov-02,3224.98,3245.38,3195.6,3228.82,0,3228.82
28-Nov-02,3192.12,3229.75,3192.12,3220.75,0,3220.75
27-Nov-02,3193.13,3206.63,3158,3174.11,0,3174.11
26-Nov-02,3190.67,3210.68,3181.25,3187.76,0,3187.76
25-Nov-02,3146.93,3183.29,3140.31,3175.56,0,3175.56
22-Nov-02,3131.75,3162.66,3130.75,3141.61,0,3141.61
21-Nov-02,3089.51,3110.38,3089.51,3101.36,0,3101.36
20-Nov-02,3066.17,3084.03,3061.09,3075.48,0,3075.48
18-Nov-02,3046.9,3071.28,3041.34,3057.16,0,3057.16
15-Nov-02,2997.47,3037.61,2997.47,3033.91,0,3033.91
14-Nov-02,2963.82,2991.61,2963.82,2986.56,0,2986.56
13-Nov-02,2972.35,2977.67,2957.19,2960.66,0,2960.66
12-Nov-02,2941.54,2963.83,2935.97,2961.24,0,2961.24
11-Nov-02,2954.99,2959.12,2942.46,2948.04,0,2948.04
8-Nov-02,2965.19,2966.59,2950.71,2956.84,0,2956.84
7-Nov-02,2983.74,2993.61,2958.32,2975.26,0,2975.26
5-Nov-02,2993.58,2993.58,2967.19,2982.39,0,2982.39
4-Nov-02,2986.54,2994.8,2974.93,2987.58,0,2987.58
1-Nov-02,2956.94,2962.32,2928.63,2950.58,0,2950.58
31-Oct-02,2909.46,2955.49,2900.87,2949.32,0,2949.32
30-Oct-02,2898.02,2908.21,2884.21,2888.59,0,2888.59
29-Oct-02,2846.8,2891.03,2846.8,2885.23,0,2885.23
28-Oct-02,2876.32,2876.32,2828.48,2834.41,0,2834.41
25-Oct-02,2903.96,2906.84,2855.9,2875.53,0,2875.53
24-Oct-02,2944.28,2958.01,2906.2,2908.05,0,2908.05
23-Oct-02,2963.38,2969.46,2941.29,2948.96,0,2948.96
22-Oct-02,2996.44,2996.86,2963.02,2965.97,0,2965.97
21-Oct-02,3012.18,3018.99,2992.54,2998.01,0,2998.01
18-Oct-02,3027.9,3038.92,3002.12,3009.76,0,3009.76
17-Oct-02,2995.7,3010.7,2980.14,3006.14,0,3006.14
16-Oct-02,3024.99,3031.01,2991.92,2994.99,0,2994.99
