,Futures NYMEX WTI 1st month Close,Futures NYMEX WTI 1st month Close,Futures NYMEX WTI 1st month Close,Futures NYMEX WTI 1st month Close
14-Aug-00,31.94,31.94,31.94,31.94
11-Aug-00,31.02,31.02,31.02,31.02
10-Aug-00,31.34,31.34,31.34,31.34
9-Aug-00,30.35,30.35,30.35,30.35
8-Aug-00,29.12,29.12,29.12,29.12
7-Aug-00,28.91,28.91,28.91,28.91
4-Aug-00,29.96,29.96,29.96,29.96
3-Aug-00,28.66,28.66,28.66,28.66
2-Aug-00,28.26,28.26,28.26,28.26
1-Aug-00,27.79,27.79,27.79,27.79
31-Jul-00,27.43,27.43,27.43,27.43
28-Jul-00,28.18,28.18,28.18,28.18
27-Jul-00,28.02,28.02,28.02,28.02
26-Jul-00,27.81,27.81,27.81,27.81
25-Jul-00,27.95,27.95,27.95,27.95
24-Jul-00,28.02,28.02,28.02,28.02
21-Jul-00,28.56,28.56,28.56,28.56
20-Jul-00,30.93,30.93,30.93,30.93
19-Jul-00,31.42,31.42,31.42,31.42
18-Jul-00,31.94,31.94,31.94,31.94
17-Jul-00,30.83,30.83,30.83,30.83
14-Jul-00,31.4,31.4,31.4,31.4
13-Jul-00,31.47,31.47,31.47,31.47
12-Jul-00,30.32,30.32,30.32,30.32
11-Jul-00,29.7,29.7,29.7,29.7
10-Jul-00,29.69,29.69,29.69,29.69
7-Jul-00,30.28,30.28,30.28,30.28
6-Jul-00,29.99,29.99,29.99,29.99
5-Jul-00,30.67,30.67,30.67,30.67
4-Jul-00,31.28,31.28,31.28,31.28
3-Jul-00,31.89,31.89,31.89,31.89
30-Jun-00,32.5,32.5,32.5,32.5
29-Jun-00,32.72,32.72,32.72,32.72
28-Jun-00,31.9,31.9,31.9,31.9
27-Jun-00,32.06,32.06,32.06,32.06
26-Jun-00,31.63,31.63,31.63,31.63
23-Jun-00,32.25,32.25,32.25,32.25
22-Jun-00,32.19,32.19,32.19,32.19
21-Jun-00,31.37,31.37,31.37,31.37
20-Jun-00,33.05,33.05,33.05,33.05
19-Jun-00,31.69,31.69,31.69,31.69
16-Jun-00,32.33,32.33,32.33,32.33
15-Jun-00,32.95,32.95,32.95,32.95
14-Jun-00,32.85,32.85,32.85,32.85
13-Jun-00,32.56,32.56,32.56,32.56
12-Jun-00,31.74,31.74,31.74,31.74
9-Jun-00,30.2,30.2,30.2,30.2
8-Jun-00,29.78,29.78,29.78,29.78
7-Jun-00,29.95,29.95,29.95,29.95
6-Jun-00,29.75,29.75,29.75,29.75
5-Jun-00,29.7,29.7,29.7,29.7
2-Jun-00,30.35,30.35,30.35,30.35
1-Jun-00,30.14,30.14,30.14,30.14
31-May-00,29.01,29.01,29.01,29.01
30-May-00,30.35,30.35,30.35,30.35
29-May-00,30.18,30.18,30.18,30.18
26-May-00,30,30,30,30
25-May-00,30.51,30.51,30.51,30.51
24-May-00,29.93,29.93,29.93,29.93
23-May-00,28.78,28.78,28.78,28.78
22-May-00,28.61,28.61,28.61,28.61
19-May-00,29.89,29.89,29.89,29.89
18-May-00,30.33,30.33,30.33,30.33
17-May-00,29.32,29.32,29.32,29.32
16-May-00,29.73,29.73,29.73,29.73
15-May-00,29.92,29.92,29.92,29.92
12-May-00,29.62,29.62,29.62,29.62
11-May-00,29.11,29.11,29.11,29.11
10-May-00,28.1,28.1,28.1,28.1
9-May-00,28.65,28.65,28.65,28.65
8-May-00,28.09,28.09,28.09,28.09
5-May-00,27.29,27.29,27.29,27.29
4-May-00,26.98,26.98,26.98,26.98
3-May-00,26.75,26.75,26.75,26.75
2-May-00,26.89,26.89,26.89,26.89
1-May-00,25.87,25.87,25.87,25.87
28-Apr-00,25.74,25.74,25.74,25.74
27-Apr-00,25.42,25.42,25.42,25.42
26-Apr-00,24.65,24.65,24.65,24.65
25-Apr-00,25.33,25.33,25.33,25.33
24-Apr-00,26.04,26.04,26.04,26.04
21-Apr-00,25.96,25.96,25.96,25.96
20-Apr-00,25.88,25.88,25.88,25.88
19-Apr-00,27.35,27.35,27.35,27.35
18-Apr-00,26.11,26.11,26.11,26.11
17-Apr-00,25.89,25.89,25.89,25.89
14-Apr-00,25.57,25.57,25.57,25.57
13-Apr-00,25.38,25.38,25.38,25.38
12-Apr-00,25.41,25.41,25.41,25.41
11-Apr-00,24.14,24.14,24.14,24.14
10-Apr-00,23.85,23.85,23.85,23.85
7-Apr-00,25.04,25.04,25.04,25.04
6-Apr-00,25.69,25.69,25.69,25.69
5-Apr-00,25.83,25.83,25.83,25.83
4-Apr-00,25.45,25.45,25.45,25.45
3-Apr-00,26.43,26.43,26.43,26.43
31-Mar-00,26.9,26.9,26.9,26.9
30-Mar-00,26.7,26.7,26.7,26.7
29-Mar-00,26.45,26.45,26.45,26.45
28-Mar-00,27.09,27.09,27.09,27.09
27-Mar-00,27.79,27.79,27.79,27.79
24-Mar-00,28.02,28.02,28.02,28.02
23-Mar-00,27.31,27.31,27.31,27.31
22-Mar-00,27.46,27.46,27.46,27.46
21-Mar-00,28,28,28,28
20-Mar-00,29.43,29.43,29.43,29.43
17-Mar-00,30.91,30.91,30.91,30.91
16-Mar-00,31.09,31.09,31.09,31.09
15-Mar-00,30.72,30.72,30.72,30.72
14-Mar-00,31.69,31.69,31.69,31.69
13-Mar-00,32.02,32.02,32.02,32.02
10-Mar-00,31.76,31.76,31.76,31.76
9-Mar-00,31.69,31.69,31.69,31.69
8-Mar-00,31.26,31.26,31.26,31.26
7-Mar-00,34.13,34.13,34.13,34.13
6-Mar-00,32.18,32.18,32.18,32.18
3-Mar-00,31.51,31.51,31.51,31.51
2-Mar-00,31.69,31.69,31.69,31.69
1-Mar-00,31.77,31.77,31.77,31.77
29-Feb-00,30.43,30.43,30.43,30.43
28-Feb-00,30.13,30.13,30.13,30.13
25-Feb-00,30.35,30.35,30.35,30.35
24-Feb-00,29.97,29.97,29.97,29.97
23-Feb-00,29.39,29.39,29.39,29.39
22-Feb-00,29.62,29.62,29.62,29.62
21-Feb-00,29.57,29.57,29.57,29.57
18-Feb-00,29.51,29.51,29.51,29.51
17-Feb-00,29.46,29.46,29.46,29.46
16-Feb-00,30.05,30.05,30.05,30.05
15-Feb-00,30.06,30.06,30.06,30.06
14-Feb-00,30.25,30.25,30.25,30.25
11-Feb-00,29.44,29.44,29.44,29.44
10-Feb-00,29.43,29.43,29.43,29.43
9-Feb-00,28.77,28.77,28.77,28.77
8-Feb-00,28.02,28.02,28.02,28.02
7-Feb-00,28.45,28.45,28.45,28.45
4-Feb-00,28.82,28.82,28.82,28.82
3-Feb-00,28.03,28.03,28.03,28.03
2-Feb-00,27.55,27.55,27.55,27.55
1-Feb-00,28.22,28.22,28.22,28.22
31-Jan-00,27.64,27.64,27.64,27.64
28-Jan-00,27.22,27.22,27.22,27.22
27-Jan-00,27.32,27.32,27.32,27.32
26-Jan-00,27.84,27.84,27.84,27.84
25-Jan-00,28.28,28.28,28.28,28.28
24-Jan-00,27.83,27.83,27.83,27.83
21-Jan-00,28.2,28.2,28.2,28.2
20-Jan-00,29.66,29.66,29.66,29.66
19-Jan-00,29.54,29.54,29.54,29.54
18-Jan-00,28.85,28.85,28.85,28.85
17-Jan-00,28.44,28.44,28.44,28.44
14-Jan-00,28.02,28.02,28.02,28.02
13-Jan-00,26.69,26.69,26.69,26.69
12-Jan-00,26.28,26.28,26.28,26.28
11-Jan-00,25.77,25.77,25.77,25.77
10-Jan-00,24.67,24.67,24.67,24.67
7-Jan-00,24.22,24.22,24.22,24.22
6-Jan-00,24.78,24.78,24.78,24.78
5-Jan-00,24.91,24.91,24.91,24.91
4-Jan-00,25.55,25.55,25.55,25.55
3-Jan-00,25.57,25.57,25.57,25.57
