,Futures IPE Brent 1st month Close,Futures IPE Brent 1st month Close,Futures IPE Brent 1st month Close,Futures IPE Brent 1st month Close
25-Feb-00,27.48,27.48,27.48,27.48
24-Feb-00,27.37,27.37,27.37,27.37
23-Feb-00,27.06,27.06,27.06,27.06
22-Feb-00,26.58,26.58,26.58,26.58
21-Feb-00,25.93,25.93,25.93,25.93
18-Feb-00,26.22,26.22,26.22,26.22
17-Feb-00,26.67,26.67,26.67,26.67
16-Feb-00,27.37,27.37,27.37,27.37
15-Feb-00,27.13,27.13,27.13,27.13
14-Feb-00,27.13,27.13,27.13,27.13
11-Feb-00,27.82,27.82,27.82,27.82
10-Feb-00,27.48,27.48,27.48,27.48
9-Feb-00,26.92,26.92,26.92,26.92
8-Feb-00,26.37,26.37,26.37,26.37
7-Feb-00,26.88,26.88,26.88,26.88
4-Feb-00,27.07,27.07,27.07,27.07
3-Feb-00,26.66,26.66,26.66,26.66
2-Feb-00,25.93,25.93,25.93,25.93
1-Feb-00,26.39,26.39,26.39,26.39
31-Jan-00,25.97,25.97,25.97,25.97
28-Jan-00,25.68,25.68,25.68,25.68
27-Jan-00,25.62,25.62,25.62,25.62
26-Jan-00,26.13,26.13,26.13,26.13
25-Jan-00,26.54,26.54,26.54,26.54
24-Jan-00,26.06,26.06,26.06,26.06
21-Jan-00,26.35,26.35,26.35,26.35
20-Jan-00,26.1,26.1,26.1,26.1
19-Jan-00,25.84,25.84,25.84,25.84
18-Jan-00,26.05,26.05,26.05,26.05
17-Jan-00,25.65,25.65,25.65,25.65
14-Jan-00,25.17,25.17,25.17,25.17
13-Jan-00,24.98,24.98,24.98,24.98
12-Jan-00,24.81,24.81,24.81,24.81
11-Jan-00,24.62,24.62,24.62,24.62
10-Jan-00,23.73,23.73,23.73,23.73
7-Jan-00,23.09,23.09,23.09,23.09
6-Jan-00,23.62,23.62,23.62,23.62
5-Jan-00,23.73,23.73,23.73,23.73
4-Jan-00,24.39,24.39,24.39,24.39
3-Jan-00,24.62,24.62,24.62,24.62
